Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
49235,801.151,279.1017679,224.8524408,1.241266348,0.592420569,49611,250.3756158,0.791305047,0.992421036,0.963951199,0.897076424,0.005668768,0.002264572,0.80474611,0.998904265,SEKER
49335,837.331,300.584812,209.2387931,1.436563496,0.717939337,49944,250.6297527,0.755952928,0.987806343,0.884241017,0.833807108,0.00609273,0.001816578,0.695234293,0.998748206,SEKER
49354,802.838,282.13013,223.0529167,1.26485739,0.612329123,49750,250.6780096,0.78210573,0.992040201,0.962224432,0.888519101,0.005716459,0.002197728,0.789466194,0.998562149,SEKER
49363,816.683,280.6216409,224.2892719,1.251159445,0.600987206,49830,250.7008649,0.753507045,0.990628136,0.930045892,0.893376805,0.005684858,0.002233768,0.798122115,0.998578023,SEKER
49377,800.422,279.1055223,225.5725729,1.237320294,0.588910617,49719,250.7364134,0.794148868,0.993121342,0.968493098,0.898357049,0.005652541,0.002271012,0.807045388,0.998573636,SEKER
49452,825.529,278.3305613,226.9136794,1.226592253,0.579085457,50153,250.9267661,0.76598513,0.98602277,0.911861871,0.90154227,0.005628297,0.002293513,0.812778465,0.996947769,SEKER
49639,833.546,298.8035974,211.8542236,1.410420771,0.705200159,50048,251.4007513,0.734576397,0.991827845,0.897787893,0.841357847,0.006019533,0.001860654,0.707883026,0.998412924,SEKER
49680,819.726,278.0028246,227.9971291,1.219325987,0.572184074,50264,251.5045538,0.749253461,0.988381346,0.929081967,0.904683448,0.00559587,0.002312246,0.81845214,0.997959964,SEKER
49728,823.685,285.9101273,221.8043007,1.289019763,0.630999428,50280,251.6260243,0.779594588,0.98902148,0.921061316,0.880087833,0.00574948,0.00212771,0.774554593,0.998416179,SEKER
49753,812.08,273.5577319,231.9879368,1.179189468,0.529931999,50186,251.6892669,0.82397072,0.991372096,0.948050578,0.92005905,0.005498316,0.002430369,0.846508655,0.998194091,SEKER
49827,831.839,284.1727676,223.5363681,1.271259661,0.617435697,50442,251.876372,0.78125686,0.987807779,0.90489054,0.886349435,0.005703188,0.002171288,0.785615321,0.998721067,SEKER
49848,805.584,270.6473214,234.714171,1.153093229,0.49790328,50183,251.9294441,0.789934077,0.993324433,0.965241394,0.930840338,0.005429452,0.002514413,0.866463735,0.999113466,SEKER
49874,824.563,280.3607018,226.8318893,1.235984511,0.587710049,50482,251.995137,0.775054779,0.987956103,0.92179931,0.898824747,0.00562138,0.002263199,0.807885926,0.998534492,SEKER
49878,822.009,292.0031631,218.0170791,1.339359119,0.665244314,50429,252.005242,0.779977482,0.989073747,0.9276107,0.863022302,0.005854348,0.002003302,0.744807494,0.997564709,SEKER
49888,810.547,286.4899201,222.0352076,1.290290505,0.631937605,50224,252.0305029,0.764391328,0.993309971,0.954222279,0.87971857,0.005742662,0.002121622,0.773904763,0.998561967,SEKER
49923,816.004,271.5733473,234.3101821,1.159033487,0.505566159,50388,252.1188961,0.764822134,0.990771612,0.942162825,0.928363916,0.005439844,0.002492523,0.86185956,0.998924091,SEKER
49949,823.828,299.1147955,212.9170718,1.404841768,0.702357943,50448,252.1845396,0.757560591,0.990108627,0.924833526,0.84310286,0.005988404,0.001866436,0.710822433,0.998593043,SEKER
50086,821.776,287.9442626,221.92736,1.29747077,0.637161555,50593,252.5301484,0.755376587,0.989978851,0.932007283,0.877010523,0.005748997,0.00209793,0.769147458,0.997946344,SEKER
50124,827.876,291.3830171,219.4732843,1.327646862,0.657777447,50718,252.6259269,0.792850364,0.988288182,0.919020079,0.866989193,0.005813243,0.002026063,0.751670261,0.997952663,SEKER
50129,825.083,303.2506787,210.7995845,1.438573417,0.718881056,50553,252.6385266,0.786682778,0.991612763,0.925344882,0.833101274,0.006049406,0.001797561,0.694057732,0.998453004,SEKER
50170,810.208,277.1151484,230.7938036,1.200704456,0.553507164,50599,252.7418208,0.757820643,0.991521572,0.960419371,0.91204621,0.005523523,0.002357563,0.831828289,0.998779933,SEKER
50172,828.968,316.4535715,202.2688176,1.564519807,0.769062358,50547,252.7468584,0.688239894,0.992581162,0.917478182,0.798685435,0.006307374,0.001583184,0.637898424,0.998004719,SEKER
50218,822.578,284.8714973,224.792585,1.267263764,0.614262562,50719,252.8626968,0.797820285,0.990122045,0.932642273,0.887637757,0.005672697,0.002172263,0.787900787,0.998478117,SEKER
50233,818.361,288.1186704,222.1320774,1.297060171,0.63686631,50713,252.9004588,0.777432135,0.990534971,0.942560273,0.87776491,0.005735645,0.002100269,0.770471237,0.999347555,SEKER
50253,864.971,285.970002,224.1647907,1.275713287,0.620918417,51027,252.9507993,0.766753128,0.98483156,0.844051145,0.884536131,0.005690606,0.002148823,0.782404168,0.998123392,SEKER
50316,820.444,286.8992596,223.7131986,1.282442258,0.6260758,50767,253.1093063,0.773806594,0.991116276,0.939329768,0.88222363,0.005701949,0.002130678,0.778318533,0.998148578,SEKER
50336,819.005,295.0171035,217.6354485,1.355556301,0.675123731,50726,253.1596052,0.782222222,0.992311635,0.943008177,0.858118401,0.005860956,0.001960366,0.736367191,0.998187185,SEKER
50371,827.936,293.940665,218.6727557,1.344203415,0.668251958,50872,253.2476043,0.784998519,0.990151753,0.923414954,0.861560289,0.005835514,0.00198336,0.742286132,0.997783554,SEKER
50459,834.999,286.901135,224.4642386,1.27815966,0.622807804,51035,253.4687243,0.743596923,0.988713628,0.909445321,0.883470622,0.005685827,0.002136692,0.780520341,0.997629614,SEKER
50487,835.946,311.6093704,206.4985208,1.509015024,0.748899202,50978,253.5390402,0.713042864,0.990368394,0.907889474,0.813643825,0.006172071,0.001668584,0.662016275,0.998992505,SEKER
50551,828.646,291.6220792,221.0689942,1.319145094,0.652177002,51124,253.6996891,0.78359065,0.988791957,0.925127389,0.869960497,0.005768869,0.002038302,0.756831267,0.998370253,SEKER
50552,813.194,289.6649456,222.4757365,1.302006907,0.640395779,50884,253.7021984,0.768501064,0.993475356,0.96063825,0.875847086,0.005730039,0.002079939,0.767108117,0.998780067,SEKER
50645,846.485,327.3981013,197.8106829,1.655108291,0.796840232,51163,253.9354578,0.787917918,0.989875496,0.888194145,0.77561677,0.006464569,0.001443139,0.601581374,0.995682319,SEKER
50666,820.94,282.8244455,228.4612972,1.237953426,0.589477451,51147,253.9880997,0.773845707,0.990595734,0.944721173,0.898041537,0.005582135,0.002239576,0.806478602,0.998382948,SEKER
50695,832.041,302.4101617,213.8232786,1.414299526,0.707149758,51159,254.0607776,0.731571808,0.990930237,0.920207009,0.840119843,0.005965286,0.001833057,0.705801351,0.998214516,SEKER
50747,842.609,300.5536668,215.4237774,1.395174064,0.697323598,51387,254.1910446,0.74980792,0.987545488,0.898189658,0.845742617,0.00592259,0.001869151,0.715280574,0.997940905,SEKER
50760,851.459,289.51083,223.9165127,1.292940956,0.633881082,51715,254.223601,0.754145124,0.981533404,0.879840596,0.878114304,0.005703523,0.002091834,0.771084731,0.996967029,SEKER
50771,830.882,302.1716806,214.4716633,1.408911909,0.704435929,51286,254.2511454,0.742428895,0.989958273,0.924159389,0.841412884,0.005951659,0.001840155,0.707975642,0.997475314,SEKER
50913,828.731,294.4740388,220.4803859,1.335601975,0.662879546,51415,254.6064511,0.769043699,0.990236312,0.931561181,0.864614253,0.005783867,0.001993828,0.747557807,0.998439683,SEKER
51013,826.986,279.1888496,233.0075017,1.198196828,0.550875519,51500,254.8563691,0.767782427,0.990543689,0.937334093,0.912845802,0.005472896,0.002344157,0.833287457,0.998442389,SEKER
51026,817.975,290.3108914,224.0330409,1.295839623,0.635986195,51407,254.8888405,0.779784828,0.992588558,0.958343779,0.877985801,0.00568947,0.002085458,0.770859067,0.998909723,SEKER
51071,833.064,300.3870698,216.6920756,1.386239293,0.692543438,51633,255.0012094,0.774753865,0.989115488,0.92475671,0.848908741,0.005881754,0.001884216,0.720646051,0.998987873,SEKER
51268,828.387,294.8418623,222.2647237,1.326534672,0.657053616,51717,255.4925537,0.730126178,0.991318135,0.938835904,0.866540971,0.005750992,0.002000225,0.750893254,0.996085937,SEKER
51342,854.937,326.9648447,200.3430406,1.632024969,0.79028788,51898,255.6768756,0.803738318,0.989286678,0.88270263,0.781970538,0.00636837,0.001468823,0.611477923,0.997947238,SEKER
51408,866.227,300.8424616,218.0567255,1.379652294,0.688937967,52127,255.8411588,0.743610143,0.986206764,0.860948432,0.850415721,0.005852055,0.001888049,0.723206898,0.997774056,SEKER
51426,879.177,300.8312456,217.9846705,1.380056886,0.689161461,52169,255.885945,0.740731138,0.985757826,0.836064866,0.850596302,0.005849789,0.001888922,0.723514069,0.998490572,SEKER
51630,826.672,296.4460313,222.1142927,1.33465536,0.662279248,52050,256.3929751,0.771402958,0.991930836,0.949391924,0.864889215,0.00574174,0.001981825,0.748033353,0.998366724,SEKER
51650,850.54,297.9037199,221.2184119,1.346649754,0.669753403,52193,256.44263,0.755912657,0.989596306,0.897202973,0.86082386,0.005767739,0.001953631,0.741017718,0.997891327,SEKER
51737,838.558,294.5472348,224.105394,1.314324611,0.648931252,52387,256.658517,0.740687187,0.987592342,0.924580848,0.871366242,0.005693164,0.002024587,0.759279127,0.997939244,SEKER
51901,839.556,286.7706676,230.5993145,1.243588552,0.594460947,52463,257.0649832,0.757678832,0.989287688,0.925307858,0.8964131,0.00552534,0.002200754,0.803556446,0.999293598,SEKER
